datetime,location,latitude,longitude,flood,temperature_nearest_value,temperature_nearest_distance,temperature_nearest_station,rainfall_nearest_value,rainfall_nearest_distance,rainfall_nearest_station,humidity_nearest_value,humidity_nearest_distance,humidity_nearest_station,wind_direction_nearest_value,wind_direction_nearest_distance,wind_direction_nearest_station,wind_speed_nearest_value,wind_speed_nearest_distance,wind_speed_nearest_station
2025-02-15T16:08:00,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),1.3178,103.8918,1,25.9,2.483920121407658,Kim Chuan Road,6.699,1.154441164991131,Geylang East Central,89.8,2.483920121407658,Kim Chuan Road,298.0,2.483920121407658,Kim Chuan Road,9.10001,2.483920121407658,Kim Chuan Road
2025-02-15T16:08:00,Jln Lokam (near Upp Paya Lebar Rd),1.3178,103.8918,1,25.9,2.483920121407658,Kim Chuan Road,6.699,1.154441164991131,Geylang East Central,89.8,2.483920121407658,Kim Chuan Road,298.0,2.483920121407658,Kim Chuan Road,9.10001,2.483920121407658,Kim Chuan Road
2025-02-15T16:08:00,Thrift Dr (near Jln Usaha),1.3437173,103.8836814,1,25.9,0.6231020293747583,Kim Chuan Road,4.8,0.6231020293747583,Kim Chuan Road,89.8,0.6231020293747583,Kim Chuan Road,298.0,0.6231020293747583,Kim Chuan Road,9.10001,0.6231020293747583,Kim Chuan Road
2025-02-15T16:06:00,Lor Gambir,1.3521,103.8198,1,26.2,4.956061241628442,Scotts Road,1.2,1.9143082025139122,Lornie Road,91.4,4.956061241628442,Scotts Road,237.0,4.956061241628442,Scotts Road,2.2,4.956061241628442,Scotts Road
2025-02-15T16:04:00,Puay Hee Ave (near Siak Kew Ave),1.330954,103.8705239,1,26.8,2.162197230745093,Kim Chuan Road,4.8,1.7756305887250956,Towner Road,87.6,2.162197230745093,Kim Chuan Road,288.0,2.162197230745093,Kim Chuan Road,7.7,2.162197230745093,Kim Chuan Road
2025-02-15T16:04:00,Siang Kuang Ave,1.3292841,103.8710583,1,26.8,2.202124089973319,Kim Chuan Road,4.8,1.7234026086905894,Towner Road,87.6,2.202124089973319,Kim Chuan Road,288.0,2.202124089973319,Kim Chuan Road,7.7,2.202124089973319,Kim Chuan Road
2025-02-15T15:54:00,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,1.334,103.8471,1,26.6,2.848715578972751,Scotts Road,5.0,0.9697592779814542,Toa Payoh North,88.8,2.848715578972751,Scotts Road,171.0,2.848715578972751,Scotts Road,5.4,2.848715578972751,Scotts Road
2025-01-10T21:15:00,Jln Pokok Serunai,1.3136136,103.9365203,1,23.1,2.89131935540986,East Coast Parkway,2.2,2.89131935540986,East Coast Parkway,97.3,2.89131935540986,East Coast Parkway,276.0,2.89131935540986,East Coast Parkway,7.5,2.89131935540986,East Coast Parkway
2025-01-10T20:02:00,Jln Seaview,1.2993119,103.8954604,1,23.2,4.568277465832308,Kim Chuan Road,0.0,1.0062625233524556,Poole Road,95.7,4.568277465832308,Kim Chuan Road,288.0,3.528186170423567,Marina Gardens Drive,5.2,3.528186170423567,Marina Gardens Drive
2025-01-10T20:02:00,Junction of Mtbatten Rd and TG Katong Rd South,1.3521,103.8198,1,22.4,4.956061241628442,Scotts Road,1.8,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,299.0,4.956061241628442,Scotts Road,6.5,4.956061241628442,Scotts Road
2025-01-10T19:23:00,Jln Seaview,1.2993119,103.8954604,1,23.2,4.568277465832308,Kim Chuan Road,0.0,1.0062625233524556,Poole Road,95.5,4.568277465832308,Kim Chuan Road,283.0,3.528186170423567,Marina Gardens Drive,4.3,3.528186170423567,Marina Gardens Drive
2025-01-10T19:23:00,Junction of Mtbatten Rd and TG Katong Rd South,1.3521,103.8198,1,22.5,4.956061241628442,Scotts Road,2.8,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,291.0,4.956061241628442,Scotts Road,4.9,4.956061241628442,Scotts Road
2024-12-29T16:57:00,Thomson Rd (Balestier Rd to Novena Rise),1.3203,103.8438,1,23.8,1.349939147486466,Scotts Road,8.0,1.349939147486466,Scotts Road,99.3,1.349939147486466,Scotts Road,300.0,1.349939147486466,Scotts Road,10.7,1.349939147486466,Scotts Road
2024-12-29T16:56:00,Queen's Rd,1.3208441,103.8095081,1,23.9,3.2123662918675646,Scotts Road,12.0,0.3794199672091922,Coronation Walk,99.3,3.2123662918675646,Scotts Road,296.0,3.2123662918675646,Scotts Road,10.0,3.2123662918675646,Scotts Road
2024-12-29T16:54:00,Puay Hee Ave (near Siak Kew Ave),1.330954,103.8705239,1,25.2,2.162197230745093,Kim Chuan Road,2.2,1.7756305887250956,Towner Road,93.0,2.162197230745093,Kim Chuan Road,323.0,2.162197230745093,Kim Chuan Road,10.8,2.162197230745093,Kim Chuan Road
2024-12-29T16:54:00,Siang Kuang Ave,1.3292841,103.8710583,1,25.2,2.202124089973319,Kim Chuan Road,2.2,1.7234026086905894,Towner Road,93.0,2.202124089973319,Kim Chuan Road,323.0,2.202124089973319,Kim Chuan Road,10.8,2.202124089973319,Kim Chuan Road
2024-12-29T16:52:00,Junction of Sunset Dr and Sunset Ter,1.3521,103.8198,1,24.4,4.956061241628442,Scotts Road,11.2,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,272.0,4.956061241628442,Scotts Road,7.6,4.956061241628442,Scotts Road
2024-12-29T16:50:00,Junction of Sunset Dr and Sunset Way Rd,1.3521,103.8198,1,24.4,4.956061241628442,Scotts Road,11.2,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,245.0,4.956061241628442,Scotts Road,6.9,4.956061241628442,Scotts Road
2024-12-29T16:50:00,Hillcrest Rd (Watten Rise to Dunearn Rd),1.3362791,103.8076496,1,24.2,3.445059969336063,Clementi Road,10.4,1.34736813371936,Coronation Walk,97.7,3.445059969336063,Clementi Road,338.0,3.445059969336063,Clementi Road,6.8,3.445059969336063,Clementi Road
2024-12-29T16:50:00,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),1.3178,103.8918,1,25.7,2.483920121407658,Kim Chuan Road,2.842,1.154441164991131,Geylang East Central,91.5,2.483920121407658,Kim Chuan Road,353.0,2.483920121407658,Kim Chuan Road,10.0,2.483920121407658,Kim Chuan Road
2024-12-29T16:50:00,Jln Lokam (near Upp Paya Lebar Rd),1.3178,103.8918,1,25.7,2.483920121407658,Kim Chuan Road,2.842,1.154441164991131,Geylang East Central,91.5,2.483920121407658,Kim Chuan Road,353.0,2.483920121407658,Kim Chuan Road,10.0,2.483920121407658,Kim Chuan Road
